Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
2001,B001E5E29A,A1CPC3HEDIT8B5,"P. L. Carter ""historyteacher""",11,14,5,1178496000,Awesome,"I usually make pancakes from scratch and have never found a mix that doesn't taste ""off"" to me.  This mix is the best!!!  My family and I love the way it tastes and it is so quick and easy."
2002,B001E5E29A,A81HMEGGVESJP,"Mrs. G ""B. Real""",3,3,4,1207440000,Great tasting pancake  mix,This is the best tasting pancake mix in the market and it is so easy to make.
2003,B001E5E29A,A13CUVB0LKBTB0,"Patricia A. Lukens ""Unifier""",5,6,5,1246838400,Stonewall Pancake Mix,"My family absolutely loves this pancake and waffle mix. The texture and taste is the best out there, especially when using our waffle maker. You can add fruit and other items to the mix and be as creative as you wish. Your price is great and delivery can't be beat. We recommend it to everyone!!"
2004,B001E5E29A,A2Q8RE77HMDIK7,J. Remsen,2,2,5,1326585600,Delicious waffles!,"We use the Farmhouse Pancake and Waffle Mix to make delicious Belgian Waffles in our <a href=""http://www.amazon.com/gp/product/B001BXM2LU"">Waring WMK300A Pro Professional Stainless-Steel Belgian Waffle Maker</a>. We have tried waffles using <a href=""http://www.amazon.com/gp/product/B003BQPZGE"">Krusteaz Waffle Mix Belgian 28-oz</a>, <a href=""http://www.amazon.com/gp/product/B001EO6BFE"">Golden Malted All Natural Waffle & Pancake Mix, 33-Ounce Containers (Pack of 3)</a>, <a href=""http://www.amazon.com/gp/product/B001SB1UJA"">Maple Grove Farms Waffle Mix Belgian, 24-Ounce (Pack of 6)</a>, and the waffle recipe from <a href=""http://www.amazon.com/gp/product/B0029JYTSY"">Aunt Jemima Pancake Mix, 32-Ounce Boxes (Pack of 6)</a>. In a highly (un)scientific blind taste test involving my three children, the Farmhouse Pancake and Waffle mix was the unanimous choice.<br /><br />I make a triple batch according to the instructions--although i use only one tablespoon of melted butter instead of three--and the batter stores well in the fridge for up to four days. The triple batch makes 4 1/2 waffles on our waffle maker and they are crispy, light, and golden brown.<br /><br />This brand is slightly more expensive per waffle than the normal grocery store brands (like Krusteaz), but our family thinks the taste is worth it. As an aside, my son has a soy allergy and this mix is free of soy--unlike most other brands."
2005,B001E5E29A,A3VKPPHX72R4QI,"P. Mullen ""mullnc""",4,5,5,1215561600,Great taste and great price! A+++,"I love Belgian waffles and this mix makes a delicious waffle without all the trouble of making them from scratch.  They are really good, and I'm fussy.  I haven't tried them as pancakes yet."
2006,B001E5E29A,A3JTJ6TMC51P9O,"K. Chiok ""househusband""",18,26,1,1285718400,Disappointed with my first farmhouse pancake,"I used to buy Bob's Red Mill Organic 7 Grain Pancake & Waffle, Whole Grain Mix until I saw all these rave reviews about StoneWall Kitchen Farmhouse Pancake and Waffle mix. I decided to order from Amazon and tried it this morning.<br /><br />This pancake mix is very fine and powdery. When I made my pancake mix, the mix was all over my kitchen floor. The mix is almost foamy like when it is done mixing. The waffle recipe from the label asks for 2 Tbsp. of melted butter, which I never use that much when I use the Rob's Red Mill pancake mix. I could only make two perfect 7"" round pancakes from it even though it claims the serving should be 3-4 pancakes. The pancake is indeed fluffy as others claimed in the review. However, I also tasted a lot of chemicals in it. I guess one reason it is so fluffy is a lot of baking soda in the ingredient. Looking at the ingredient label did I realize it has more chemicals than other brands. And I do not understand what ARTIFICIAL FLAVOR it has to be added in when this pancake mix is just the normal type with no fancy flavors like Cinnamon and Apple, etc.<br /><br />In short, I am going back to my Rob's Red Mill brand, at least I know what I am digesting in my stomach."
2007,B001E5E29A,AH6FQW533AKF1,Epics,1,1,2,1344816000,Maybe it was just my batch?,"Didnt really enjoy these after wanting to try something other than aunt jemima's from Dominicks. The pancakes tasted strange and sometimes forgettable, but it might have been due to the poor packaging they came in along with the syrup."
2008,B001E5E29A,A2C0EA9W5M7HEL,"Diane Arnett ""MiFelizDia""",1,1,5,1331078400,BEST PANCAKES OF MY LIFE,These pancakes just hit the spot and make me feel like I am eating a restaurant breakfast at home for a lot less money. Splurge on this and the good maple syrup...it really is cheaper than going to Denny's or IHOP where a meal for two will be $20 minimum.
2009,B001E5E29A,A2H5ZMH5TFB9GK,Hrvats,1,1,4,1316304000,pretty darn good but at an increased cost,Let me start by saying my family loves this stuff.  It has a fairly strong flavor of vanilla.  It cooks up nicce and light.  My problem with this product is the recent price increase.  It was a good product at a fair price but now it is pricey.  All-in-all I would suggest that you order this at least once to taste what good pancakes are supposed to taste like.  After that I would suggest playing with recepies on your own.
2010,B001E5E29A,A2J6CDLESP4C8X,Steph,1,1,5,1312761600,Best pancakes EVER!!,My family was lucky enough to get this product several years ago from a friend.  My daughter will not eat any other pancake mix and everyone I fix them for thinks they are outstanding.
2011,B001E5E29A,A14U8PEN4D3I1P,"Elizabeth ""englishteacher""",1,1,5,1312156800,I'm a believer,"I bought a Belgian waffle maker sort of on a whim and I was then confronted with the question: What waffle mix do I use? Somehow ""Hungry Jack"" felt like an afront to such a sublime kitchen appliance. I read the reviews here on Amazon and concluded that despite the rather high price, Stonewall would be a great choice. Bang! Nailed it the first time. Now, I don't know if my waffle maker is particularly large/deep, but I get only two and one half waffles out of each batch (following the recipe on the label). I don't dare water it down to try to stretch it out and I figure I only got about 10 batches of waffles out of one can. The cost-per-waffle is steep, but these have never failed to come out light on the inside, slightly crisp on the outside, and they have NEVER stuck to the waffle iron. Grudgingly, even though I see the price has gone up a dollar per can, I will be reordering, but if it goes up any higher, I may have to try another brand."
2012,B001E5E29A,A36EXMLDJV00JQ,Jon Doeringer,1,1,5,1303430400,Excellent,"I'm sorry not everyone likes this mix, but we love it. It is like going to a gourmet restaurant! (yeah - a gourmet WAFFLE restaurant...) The waffles taste and turn out great, and so easy. Hard for us to believe, but it seems it's not for everyone."
2013,B001E5E29A,A1IH5YW0X6DE26,Deb,1,1,4,1302393600,A great backup from scratch,"This is the pancake mix we go to when we don't have buttermilk in the fridge (don't think the vinegar trick is worth it so we always do fresh) to make Alton Brown's buttermilk pancake recipe.  This Stonewall mix is a good option and the flavor is the best of any store bought mix by far! It might cost more, but it really is superior to the other prepared mixes."
